 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00250 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 12.200000
Coef. de Esparcimiento: 173.500000
Coef. de Anisotropia: 0.930000
Indice de Refracción: 1.500000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00125 	 5.116e+04 	 1.963e+02 	 4.200e+00 
0.00375 	 5.610e+03 	 6.203e+01 	 2.816e+00 
0.00625 	 1.973e+03 	 3.516e+01 	 2.284e+00 
0.00875 	 1.000e+03 	 2.438e+01 	 1.951e+00 
0.01125 	 5.934e+02 	 1.799e+01 	 1.709e+00 
0.01375 	 3.895e+02 	 1.401e+01 	 1.525e+00 
0.01625 	 2.764e+02 	 1.150e+01 	 1.369e+00 
0.01875 	 2.032e+02 	 9.530e+00 	 1.231e+00 
0.02125 	 1.547e+02 	 8.013e+00 	 1.127e+00 
0.02375 	 1.217e+02 	 6.869e+00 	 1.033e+00 
0.02625 	 9.726e+01 	 5.913e+00 	 9.376e-01 
0.02875 	 7.935e+01 	 5.173e+00 	 8.728e-01 
0.03125 	 6.572e+01 	 4.578e+00 	 8.017e-01 
0.03375 	 5.522e+01 	 4.053e+00 	 7.392e-01 
0.03625 	 4.632e+01 	 3.584e+00 	 6.823e-01 
0.03875 	 3.931e+01 	 3.205e+00 	 6.323e-01 
0.04125 	 3.357e+01 	 2.859e+00 	 5.916e-01 
0.04375 	 2.936e+01 	 2.584e+00 	 5.510e-01 
0.04625 	 2.549e+01 	 2.342e+00 	 5.117e-01 
0.04875 	 2.221e+01 	 2.117e+00 	 4.771e-01 
0.05125 	 1.948e+01 	 1.934e+00 	 4.463e-01 
0.05375 	 1.724e+01 	 1.761e+00 	 4.112e-01 
0.05625 	 1.526e+01 	 1.594e+00 	 3.824e-01 
0.05875 	 1.347e+01 	 1.448e+00 	 3.604e-01 
0.06125 	 1.203e+01 	 1.315e+00 	 3.323e-01 
0.06375 	 1.075e+01 	 1.220e+00 	 3.110e-01 
0.06625 	 9.608e+00 	 1.107e+00 	 2.891e-01 
0.06875 	 8.581e+00 	 1.017e+00 	 2.705e-01 
0.07125 	 7.684e+00 	 9.446e-01 	 2.543e-01 
0.07375 	 6.892e+00 	 8.515e-01 	 2.352e-01 
0.07625 	 6.272e+00 	 7.930e-01 	 2.214e-01 
0.07875 	 5.669e+00 	 7.226e-01 	 2.067e-01 
0.08125 	 5.091e+00 	 6.678e-01 	 1.917e-01 
0.08375 	 4.591e+00 	 6.160e-01 	 1.804e-01 
0.08625 	 4.155e+00 	 5.672e-01 	 1.690e-01 
0.08875 	 3.745e+00 	 5.213e-01 	 1.566e-01 
0.09125 	 3.413e+00 	 4.805e-01 	 1.467e-01 
0.09375 	 3.114e+00 	 4.446e-01 	 1.394e-01 
0.09625 	 2.828e+00 	 4.137e-01 	 1.306e-01 
0.09875 	 2.579e+00 	 3.783e-01 	 1.219e-01 
0.10125 	 2.366e+00 	 3.493e-01 	 1.131e-01 
0.10375 	 2.168e+00 	 3.235e-01 	 1.067e-01 
0.10625 	 1.963e+00 	 2.998e-01 	 9.942e-02 
0.10875 	 1.782e+00 	 2.769e-01 	 9.299e-02 
0.11125 	 1.630e+00 	 2.571e-01 	 8.767e-02 
0.11375 	 1.512e+00 	 2.381e-01 	 8.157e-02 
0.11625 	 1.377e+00 	 2.213e-01 	 7.656e-02 
0.11875 	 1.265e+00 	 2.052e-01 	 7.185e-02 
0.12125 	 1.160e+00 	 1.893e-01 	 6.642e-02 
0.12375 	 1.050e+00 	 1.755e-01 	 6.228e-02 
0.12625 	 9.703e-01 	 1.628e-01 	 5.820e-02 
0.12875 	 8.960e-01 	 1.502e-01 	 5.517e-02 
0.13125 	 8.149e-01 	 1.395e-01 	 5.105e-02 
0.13375 	 7.462e-01 	 1.300e-01 	 4.842e-02 
0.13625 	 6.907e-01 	 1.215e-01 	 4.468e-02 
0.13875 	 6.338e-01 	 1.122e-01 	 4.245e-02 
0.14125 	 5.876e-01 	 1.049e-01 	 3.978e-02 
0.14375 	 5.419e-01 	 9.655e-02 	 3.668e-02 
0.14625 	 4.949e-01 	 9.021e-02 	 3.414e-02 
0.14875 	 4.566e-01 	 8.383e-02 	 3.244e-02 
0.15125 	 4.170e-01 	 7.773e-02 	 3.072e-02 
0.15375 	 3.840e-01 	 7.157e-02 	 2.864e-02 
0.15625 	 3.550e-01 	 6.754e-02 	 2.704e-02 
0.15875 	 3.316e-01 	 6.248e-02 	 2.559e-02 
0.16125 	 3.024e-01 	 5.747e-02 	 2.394e-02 
0.16375 	 2.800e-01 	 5.370e-02 	 2.210e-02 
0.16625 	 2.586e-01 	 4.998e-02 	 2.089e-02 
0.16875 	 2.397e-01 	 4.686e-02 	 1.938e-02 
0.17125 	 2.212e-01 	 4.343e-02 	 1.854e-02 
0.17375 	 2.021e-01 	 4.039e-02 	 1.712e-02 
0.17625 	 1.850e-01 	 3.824e-02 	 1.581e-02 
0.17875 	 1.724e-01 	 3.504e-02 	 1.504e-02 
0.18125 	 1.620e-01 	 3.248e-02 	 1.405e-02 
0.18375 	 1.489e-01 	 3.059e-02 	 1.341e-02 
0.18625 	 1.371e-01 	 2.831e-02 	 1.243e-02 
0.18875 	 1.271e-01 	 2.655e-02 	 1.159e-02 
0.19125 	 1.175e-01 	 2.480e-02 	 1.075e-02 
0.19375 	 1.084e-01 	 2.312e-02 	 1.008e-02 
0.19625 	 1.011e-01 	 2.131e-02 	 9.341e-03 
0.19875 	 9.364e-02 	 2.005e-02 	 9.040e-03 
0.20125 	 8.600e-02 	 1.869e-02 	 8.379e-03 
0.20375 	 7.988e-02 	 1.729e-02 	 7.643e-03 
0.20625 	 7.392e-02 	 1.598e-02 	 7.458e-03 
0.20875 	 6.931e-02 	 1.481e-02 	 6.777e-03 
0.21125 	 6.327e-02 	 1.413e-02 	 6.437e-03 
0.21375 	 5.850e-02 	 1.310e-02 	 6.096e-03 
0.21625 	 5.394e-02 	 1.225e-02 	 5.677e-03 
0.21875 	 5.069e-02 	 1.136e-02 	 5.374e-03 
0.22125 	 4.594e-02 	 1.043e-02 	 5.094e-03 
0.22375 	 4.227e-02 	 9.596e-03 	 4.495e-03 
0.22625 	 3.999e-02 	 9.149e-03 	 4.264e-03 
0.22875 	 3.681e-02 	 8.387e-03 	 4.090e-03 
0.23125 	 3.396e-02 	 7.823e-03 	 3.955e-03 
0.23375 	 3.127e-02 	 7.473e-03 	 3.572e-03 
0.23625 	 2.930e-02 	 6.931e-03 	 3.226e-03 
0.23875 	 2.759e-02 	 6.409e-03 	 3.095e-03 
0.24125 	 2.508e-02 	 5.912e-03 	 2.887e-03 
0.24375 	 2.352e-02 	 5.569e-03 	 2.744e-03 
0.24625 	 2.143e-02 	 5.137e-03 	 2.527e-03 
0.24875 	 1.995e-02 	 4.829e-03 	 2.363e-03 
0.25125 	 1.871e-02 	 4.442e-03 	 2.337e-03 
0.25375 	 1.719e-02 	 4.258e-03 	 2.211e-03 
